city,date,period,from,to,prob,prob_l,prob_u,fraction
Los Angeles,2020-01-01,1,Clouds,Clouds,0.22303902484784646,0.1519749118491619,0.31512965751516386,0.0831606443616548
Los Angeles,2020-01-01,1,Clouds,Rain,0.26392816663144303,0.17173219017760238,0.3662321518227629,0.0831606443616548
Los Angeles,2020-01-01,1,Clouds,Snow,0.013316111329508391,0.0033686748183996227,0.03678990857849618,0.0831606443616548
Los Angeles,2020-01-01,1,Clouds,Sun,0.4866482857134296,0.38314733106781595,0.5988221300153309,0.0831606443616548
Los Angeles,2020-01-01,1,Rain,Clouds,0.045972568962975885,0.022472200468855737,0.08144347337669905,0.17805215323694146
Los Angeles,2020-01-01,1,Rain,Rain,0.5232350661472392,0.441902387908957,0.5980551144887926,0.17805215323694146
Los Angeles,2020-01-01,1,Rain,Snow,0.008932157016181521,0.002181718553753305,0.026864468002217496,0.17805215323694146
Los Angeles,2020-01-01,1,Rain,Sun,0.41984839440032623,0.3456329850281522,0.49824876101757537,0.17805215323694146
Los Angeles,2020-01-01,1,Snow,Clouds,0.2288483177969297,0.06752261067637128,0.5151720977195956,0.005052417743551393
Los Angeles,2020-01-01,1,Snow,Rain,0.21842527232120332,0.054507582342415144,0.5343801405827362,0.005052417743551393
Los Angeles,2020-01-01,1,Snow,Snow,0.23296130096302575,0.0570280314338929,0.5501535756525059,0.005052417743551393
Los Angeles,2020-01-01,1,Snow,Sun,0.23287106681869846,0.06466374031513118,0.5443450879889744,0.005052417743551393
Los Angeles,2020-01-01,1,Sun,Clouds,0.07506146617954877,0.05816962679327327,0.0952230683961498,0.7337347846578524
Los Angeles,2020-01-01,1,Sun,Rain,0.08370625120385651,0.06367925843086727,0.10497067035448146,0.7337347846578524
Los Angeles,2020-01-01,1,Sun,Snow,0.0015887882542346072,4.5156771807696903e-4,0.004454279993879453,0.7337347846578524
Los Angeles,2020-01-01,1,Sun,Sun,0.8390053383356819,0.8090387705145099,0.8667394690483621,0.7337347846578524
