city,date,period,from,to,prob,prob_l,prob_u,fraction
Atlanta,2020-01-01,1,Clouds,Clouds,0.2492592336947156,0.20048001293168913,0.29548449920616177,0.15793744406135804
Atlanta,2020-01-01,1,Clouds,Rain,0.44280165580253306,0.38087730835046335,0.5023634703203138,0.15793744406135804
Atlanta,2020-01-01,1,Clouds,Snow,0.013323425710473558,0.00550470477237384,0.025255856017181208,0.15793744406135804
Atlanta,2020-01-01,1,Clouds,Sun,0.29512414064856296,0.2430923473246478,0.3521647098073727,0.15793744406135804
Atlanta,2020-01-01,1,Rain,Clouds,0.16807377333098827,0.14043534245248446,0.19840378327639935,0.3455904398731104
Atlanta,2020-01-01,1,Rain,Rain,0.48421792838710964,0.44496036747556555,0.5252446048620192,0.3455904398731104
Atlanta,2020-01-01,1,Rain,Snow,0.017863973359667128,0.01090102567653365,0.026697851284802235,0.3455904398731104
Atlanta,2020-01-01,1,Rain,Sun,0.32749976998376207,0.29156735976614345,0.36513953524124426,0.3455904398731104
Atlanta,2020-01-01,1,Snow,Clouds,0.11130808207841637,0.05042213964775029,0.2040774530523018,0.019066444872477804
Atlanta,2020-01-01,1,Snow,Rain,0.2032259751336445,0.10116927527570047,0.30311891250252343,0.019066444872477804
Atlanta,2020-01-01,1,Snow,Snow,0.20680070986625115,0.10818532905803663,0.32015439138073876,0.019066444872477804
Atlanta,2020-01-01,1,Snow,Sun,0.4717733984254626,0.3446926431874268,0.6015205320830901,0.019066444872477804
Atlanta,2020-01-01,1,Sun,Clouds,0.12174182077008182,0.101523639790427,0.1429540873645624,0.47740567119305377
Atlanta,2020-01-01,1,Sun,Rain,0.21765155309466427,0.19048241355142045,0.24660821982670247,0.47740567119305377
Atlanta,2020-01-01,1,Sun,Snow,0.014277753839101806,0.009138261931457801,0.021006610780980924,0.47740567119305377
Atlanta,2020-01-01,1,Sun,Sun,0.6449115907566954,0.6133676329663382,0.6761884631493152,0.47740567119305377
Atlanta,2020-01-08,2,Clouds,Clouds,0.25031692612158585,0.2007031323863002,0.29864514270409404,0.1582628909252473
Atlanta,2020-01-08,2,Clouds,Rain,0.43665664560191286,0.37044176689839964,0.49973055656238174,0.1582628909252473
Atlanta,2020-01-08,2,Clouds,Snow,0.013694000463516393,0.005753174167582998,0.02647447159054163,0.1582628909252473
Atlanta,2020-01-08,2,Clouds,Sun,0.30034077267909426,0.24468044066345357,0.3577546087674308,0.1582628909252473
Atlanta,2020-01-08,2,Rain,Clouds,0.17110115989571648,0.14128618610412508,0.20216946852951304,0.3451370180538715
Atlanta,2020-01-08,2,Rain,Rain,0.4815913477682414,0.4405375437301861,0.5239361269664223,0.3451370180538715
Atlanta,2020-01-08,2,Rain,Snow,0.01851327868857595,0.011256544897071192,0.027694946530234833,0.3451370180538715
Atlanta,2020-01-08,2,Rain,Sun,0.3275094522519181,0.29043564528752797,0.3675352476232113,0.3451370180538715
Atlanta,2020-01-08,2,Snow,Clouds,0.10188098920348407,0.04662261493473399,0.185419448545964,0.019781493951643022
Atlanta,2020-01-08,2,Snow,Rain,0.18814892302238156,0.10025552899165488,0.2814331265758132,0.019781493951643022
Atlanta,2020-01-08,2,Snow,Snow,0.20901255590944656,0.11965521074716041,0.3146186492621066,0.019781493951643022
Atlanta,2020-01-08,2,Snow,Sun,0.49495928188380217,0.3755496621137346,0.6007540973075183,0.019781493951643022
Atlanta,2020-01-08,2,Sun,Clouds,0.12043192488287477,0.09957836002836995,0.14220162783397217,0.4768185970692382
Atlanta,2020-01-08,2,Sun,Rain,0.22179816402616237,0.19351985506152486,0.2529304101397152,0.4768185970692382
Atlanta,2020-01-08,2,Sun,Snow,0.014829075383065242,0.009327203305190705,0.021910149028425915,0.4768185970692382
Atlanta,2020-01-08,2,Sun,Sun,0.641742526299881,0.6094668101048186,0.676084497918256,0.4768185970692382
Atlanta,2020-01-15,3,Clouds,Clouds,0.2474427250568371,0.19956695477134956,0.29981782568628096,0.15732764338780147
Atlanta,2020-01-15,3,Clouds,Rain,0.4334220822062743,0.36476009888712796,0.4938901318064953,0.15732764338780147
Atlanta,2020-01-15,3,Clouds,Snow,0.013999313937583455,0.006080071224494855,0.027092759664578657,0.15732764338780147
Atlanta,2020-01-15,3,Clouds,Sun,0.3061549189710874,0.2487310308640157,0.36207537258267214,0.15732764338780147
Atlanta,2020-01-15,3,Rain,Clouds,0.1722168777613231,0.14036102652362306,0.20292347609877842,0.34298028912969275
Atlanta,2020-01-15,3,Rain,Rain,0.47773830011747176,0.43586247743702566,0.5218099539677469,0.34298028912969275
Atlanta,2020-01-15,3,Rain,Snow,0.018830383999260875,0.011464919572430858,0.02820322047105666,0.34298028912969275
Atlanta,2020-01-15,3,Rain,Sun,0.3312752356301468,0.29259966253906716,0.37380740747416297,0.34298028912969275
Atlanta,2020-01-15,3,Snow,Clouds,0.09461211709096573,0.04541699095025986,0.1727457414043994,0.0201369805802645
Atlanta,2020-01-15,3,Snow,Rain,0.17597697340050783,0.09552510046522247,0.26935289052386946,0.0201369805802645
Atlanta,2020-01-15,3,Snow,Snow,0.21067110476573475,0.12566457811343257,0.31721700050329066,0.0201369805802645
Atlanta,2020-01-15,3,Snow,Sun,0.5123978081173088,0.40224948278743394,0.624237831338054,0.0201369805802645
Atlanta,2020-01-15,3,Sun,Clouds,0.11948044684121942,0.0990620803454497,0.14269327782883517,0.4795550869022413
Atlanta,2020-01-15,3,Sun,Rain,0.22335830476688917,0.19599113744017577,0.2554303804053678,0.4795550869022413
Atlanta,2020-01-15,3,Sun,Snow,0.015050065285098353,0.009368086299941148,0.022123435477290614,0.4795550869022413
Atlanta,2020-01-15,3,Sun,Sun,0.6402977121223123,0.6074469972004142,0.6748961496480519,0.4795550869022413
Atlanta,2020-01-22,4,Clouds,Clouds,0.2417956462209141,0.19305285498170172,0.29497238293906214,0.15518657611983766
Atlanta,2020-01-22,4,Clouds,Rain,0.43269269559302787,0.36744318054422453,0.48808760347914876,0.15518657611983766
Atlanta,2020-01-22,4,Clouds,Snow,0.014263447074286721,0.006277421762837493,0.027120469506474787,0.15518657611983766
Atlanta,2020-01-22,4,Clouds,Sun,0.3114661582675498,0.25450214527711773,0.36721490841564386,0.15518657611983766
Atlanta,2020-01-22,4,Rain,Clouds,0.17024037629424893,0.14050872258455188,0.20072574953786304,0.3399881695062039
Atlanta,2020-01-22,4,Rain,Rain,0.4724106188005901,0.4326961559144502,0.5171399792742799,0.3399881695062039
Atlanta,2020-01-22,4,Rain,Snow,0.018637689053788317,0.011361043345195065,0.027880822488925455,0.3399881695062039
Atlanta,2020-01-22,4,Rain,Sun,0.33730998424582936,0.2999801005767059,0.37954876875139254,0.3399881695062039
Atlanta,2020-01-22,4,Snow,Clouds,0.08861861515802016,0.042817331014745816,0.1644802954607552,0.020108834361930995
Atlanta,2020-01-22,4,Snow,Rain,0.1630600036994565,0.08912947671958703,0.2559633337801574,0.020108834361930995
Atlanta,2020-01-22,4,Snow,Snow,0.214319221380488,0.12754958033023023,0.3151528641400264,0.020108834361930995
Atlanta,2020-01-22,4,Snow,Sun,0.5271906536484441,0.42044277614155623,0.6341436967019738,0.020108834361930995
Atlanta,2020-01-22,4,Sun,Clouds,0.11932441261192511,0.100432782588368,0.14346457798690954,0.4847164200120274
Atlanta,2020-01-22,4,Sun,Rain,0.22402832225292457,0.1957771364025805,0.25385646252878685,0.4847164200120274
Atlanta,2020-01-22,4,Sun,Snow,0.014911659924563246,0.009300129671487202,0.02185881938690557,0.4847164200120274
Atlanta,2020-01-22,4,Sun,Sun,0.6407656593988518,0.6097915836328927,0.6742656076683509,0.4847164200120274
Atlanta,2020-01-29,5,Clouds,Clouds,0.2361751996400561,0.18888638011671127,0.2874008471166618,0.15320852491979947
Atlanta,2020-01-29,5,Clouds,Rain,0.4330836096261113,0.37346688201057276,0.4848316351048873,0.15320852491979947
Atlanta,2020-01-29,5,Clouds,Snow,0.01458088697779649,0.006259276844420653,0.027026901150473924,0.15320852491979947
Atlanta,2020-01-29,5,Clouds,Sun,0.3163331903932415,0.26293433965425084,0.3692317925026829,0.15320852491979947
Atlanta,2020-01-29,5,Rain,Clouds,0.16702372310967195,0.1387932725790605,0.19672292516597345,0.3356382044936074
