type,category,title,authors,url,journal,vol,num,pages,date,first_date,publisher,abstract,notes,materials
publication,Statistical methodology,Estimating racial disparities when race is not observed,"McCartan, Cory; Fisher, Robin; Goldin, Jacob; Ho, Daniel E.; Imai, Kosuke;",https://doi.org/10.1080/01621459.2025.2526695,Journal of the American Statistical Association,NA,NA,Forthcoming,2025,2022,American Statistical Association,"The estimation of racial disparities in various fields is often hampered by the lack of individual-level racial information. In many cases, the law prohibits the collection of such information to prevent direct racial discrimination. As a result, analysts have frequently adopted Bayesian Improved Surname Geocoding (BISG) and its variants, which combine individual names and addresses with Census data to predict race. Unfortunately, the residuals of BISG are often correlated with the outcomes of interest, generally attenuating estimates of racial disparities. To correct this bias, we propose an alternative identification strategy under the assumption that surname is conditionally independent of the outcome given (unobserved) race, residence location, and other observed characteristics. We introduce a new class of models, Bayesian Instrumental Regression for Disparity Estimation (BIRDiE), that take BISG probabilities as inputs and produce racial disparity estimates by using surnames as an instrumental variable for race. Our estimation method is scalable, making it possible to analyze large-scale administrative data. We also show how to address potential violations of the key identification assumptions. A validation study based on the North Carolina voter file shows that BISG+BIRDiE reduces error by up to 84% when estimating racial differences in party registration. Finally, we apply the proposed methodology to estimate racial differences in who benefits from the home mortgage interest deduction using individual-level tax data from the U.S. Internal Revenue Service. Open-source software is available which implements the proposed methodology.",NA,"[Software](https://corymccartan.com/birdie);
[Replication code](https://github.com/CoryMcCartan/birdie-replication);
[Poster](/docs/poster_race.pdf)"
publication,Differential privacy and the census,Evaluating Bias and Noise Induced by the U.S. Census Bureau's Privacy Protection Methods,"Kenny, Christopher T.; McCartan, Cory; Simko, Tyler; Kuriwaki, Shiro; Imai, Kosuke;",https://doi.org/10.1126/sciadv.adl2524,Science Advances,10,18,eadl2524,2024,2023,American Association for the Advancement of Science,"The United States Census Bureau faces a difficult trade-off between the accuracy of Census statistics and the protection of individual information. We conduct the first independent evaluation of bias and noise induced by the Bureau's two main disclosure avoidance systems: the TopDown algorithm employed for the 2020 Census and the swapping algorithm implemented for the 1990, 2000, and 2010 Censuses. Our evaluation leverages the recent release of the Noisy Measure File (NMF) as well as the availability of two independent runs of the TopDown algorithm applied to the 2010 decennial Census. We find that the NMF contains too much noise to be directly useful alone, especially for Hispanic and multiracial populations. TopDown's post-processing dramatically reduces the NMF noise and produces similarly accurate data to swapping in terms of bias and noise. These patterns hold across census geographies with varying population sizes and racial diversity. While the estimated errors for both TopDown and swapping are generally no larger than other sources of Census error, they can be relatively substantial for geographies with small total populations.",NA,[Replication code](https://doi.org/10.7910/DVN/TMIN3H)
publication,Redistricting and geography,Measuring and Modeling Neighborhoods,"McCartan, Cory; Brown, Jacob R.; Imai, Kosuke;",https://doi.org/10.1017/S0003055423001429,American Political Science Review,118,4,1966-1985,2024,2021,American Political Science Association,"Granular geographic data present new opportunities to understand how neighborhoods are formed, and how they influence politics. At the same time, the inherent subjectivity of neighborhoods creates methodological challenges in measuring and modeling them. We develop an open-source survey instrument that allows respondents to draw their neighborhoods on a map. We also propose a statistical model to analyze how the characteristics of respondents and local areas determine subjective neighborhoods. We conduct two surveys: collecting subjective neighborhoods from voters in Miami, New York City, and Phoenix, and asking New York City residents to draw a community of interest for inclusion in their city council district. Our analysis shows that, holding other factors constant, White respondents include census blocks with more White residents in their neighborhoods. Similarly, Democrats and Republicans are more likely to include co-partisan areas. Furthermore, our model provides more accurate out-of-sample predictions than standard neighborhood measures.",NA,"[Survey tool](https://github.com/CoryMcCartan/neighborhood-survey);
[Replication code](https://doi.org/10.7910/DVN/SDSUQG);
[Poster](/docs/poster_nbhd.pdf)"
publication,Differential privacy and the census,Census Officials Must Constructively Engage with Independent Evaluations,"Kenny, Christopher T.; McCartan, Cory; Simko, Tyler; Imai, Kosuke;",https://doi.org/10.1073/pnas.2321196121,Proceedings of the National Academy of Sciences,121,11,e2321196121,2024,2023,National Academy of Sciences,NA,Letter to the editor re: [Jarmin et al. (2023)](https://doi.org/10.1073/pnas.2220558120).,NA
publication,Differential privacy and the census,Making Differential Privacy Work for Census Data Users,"McCartan, Cory; Simko, Tyler; Imai, Kosuke;",https://doi.org/10.1162/99608f92.c3c87223,Harvard Data Science Review,5,4,NA,2023,2023,MIT Press,"The U.S. Census Bureau collects and publishes detailed demographic data about Americans which are heavily used by researchers and policymakers. The Bureau has recently adopted the framework of differential privacy in an effort to improve confidentiality of individual census responses. A key output of this privacy protection system is the Noisy Measurement File (NMF), which is produced by adding random noise to tabulated statistics. The NMF is critical to understanding any biases in the data, and performing valid statistical inference on published census data. Unfortunately, the current release format of the NMF is difficult to access and work with. We describe the process we use to transform the NMF into a usable format, and provide recommendations to the Bureau for how to release future versions of the NMF. These changes are essential for ensuring transparency of privacy measures and reproducibility of scientific research built on census data.",With [response](https://doi.org/10.1162/99608f92.79d4660d) and [rejoinder](https://doi.org/10.1162/99608f92.f9f4b9a4).,NA
publication,Redistricting and geography,Sequential Monte Carlo for sampling balanced and compact redistricting plans,"McCartan, Cory; Imai, Kosuke;",https://doi.org/10.1214/23-AOAS1763,Annals of Applied Statistics,17,4,3300-3323,2023,2020,Institute of Mathematical Statistics,"Random sampling of graph partitions under constraints has become a popular tool for evaluating legislative redistricting plans. Analysts detect partisan gerrymandering by comparing a proposed redistricting plan with an ensemble of sampled alternative plans. For successful application, sampling methods must scale to large maps with many districts, incorporate realistic legal constraints, and accurately and efficiently sample from a selected target distribution. Unfortunately, most existing methods struggle in at least one of these areas. We present a new Sequential Monte Carlo (SMC) algorithm that generates a sample of redistricting plans converging to a realistic target distribution. Because it draws many plans in parallel, the SMC algorithm can efficiently explore the relevant space of redistricting plans better than the existing Markov chain Monte Carlo (MCMC) algorithms that generate plans sequentially. Our algorithm can simultaneously incorporate several constraints commonly imposed in real-world redistricting problems, including equal population, compactness, and preservation of administrative boundaries. We validate the accuracy of the proposed algorithm by using a small map where all redistricting plans can be enumerated. We then apply the SMC algorithm to evaluate the partisan implications of several maps submitted by relevant parties in a recent high-profile redistricting case in the state of Pennsylvania. We find that the proposed algorithm converges to the target distribution faster and with fewer samples than a state-of-the-art MCMC algorithm. Open-source software is available for implementing the proposed methodology.","Covered by [*The Washington Post*](https://www.washingtonpost.com/politics/interactive/2022/algorithmic-redistricting/), [*Quanta* magazine](https://www.quantamagazine.org/how-math-has-changed-the-shape-of-gerrymandering-20230601/).",[Software](https://alarm-redist.org/redist/)
publication,Redistricting and geography,"Widespread partisan gerrymandering mostly cancels nationally, but reduces electoral competition","Kenny, Christopher T.; McCartan, Cory; Simko, Tyler; Kuriwaki, Shiro; Imai, Kosuke;",https://doi.org/10.1073/pnas.2217322120,Proceedings of the National Academy of Sciences,120,25,e2217322120,2023,2022,National Academy of Sciences,"Congressional district lines in many U.S. states are drawn by partisan actors, raising concerns about gerrymandering. To isolate the electoral impact of gerrymandering from the effects of other factors including geography and redistricting rules, we compare predicted election outcomes under the enacted plan with those under a large sample of non-partisan, simulated alternative plans for all states. We find that partisan gerrymandering is widespread in the 2020 redistricting cycle, but most of the bias it creates cancels at the national level, giving Republicans two additional seats, on average. In contrast, moderate pro-Republican bias due to geography and redistricting rules remains. Finally, we find that partisan gerrymandering reduces electoral competition and makes the House's partisan composition less responsive to shifts in the national vote.",NA,[Replication code](https://doi.org/10.7910/DVN/JI1U8X)
publication,Differential privacy and the census,Researchers need better access to U.S. Census data,"McCartan, Cory; Simko, Tyler; Imai, Kosuke;",https://doi.org/10.1126/science.adi7004,Science,380,6648,902-903,2023,2023,American Association for the Advancement of Science,NA,NA,NA
publication,Statistical methodology,"Recalibration of Predicted Probabilities Using the “Logit Shift”: Why Does It Work, and When Can It Be Expected to Work Well?","Rosenman, Evan T.R.; McCartan, Cory; Olivella, Santiago;",https://doi.org/10.1017/pan.2022.31,Political Analysis,31,4,651-661,2023,2022,Cambridge University Press,"The output of predictive models is routinely recalibrated by reconciling low-level predictions with known quantities defined at higher levels of aggregation. For example, models predicting vote probabilities at the individual level in U.S. elections can be adjusted so that their aggregation matches the observed vote totals in each county, thus producing better calibrated predictions. In this research note, we provide theoretical grounding for one of the most commonly used recalibration strategies, known colloquially as the “logit shift.” Typically cast as a heuristic adjustment strategy (whereby a constant correction on the logit scale is found, such that aggregated predictions match target totals), we show that the logit shift offers a fast and accurate approximation to a principled, but computationally impractical adjustment strategy: computing the posterior prediction probabilities, conditional on the observed totals. After deriving analytical bounds on the quality of the approximation, we illustrate its accuracy using Monte Carlo simulations. We also discuss scenarios in which the logit shift is less effective at recalibrating predictions: when the target totals are defined only for highly heterogeneous populations, and when the original predictions correctly capture the mean of true individual probabilities, but fail to capture the shape of their distribution.",NA,[Software snippet](https://gist.github.com/CoryMcCartan/220701121c3f0520c2878e0010ced26b)
publication,Differential privacy and the census,Comment: The Essential Role of Policy Evaluation for the 2020 Census Disclosure Avoidance System,"Kenny, Christopher T.; Kuriwaki, Shiro; McCartan, Cory; Rosenman, Evan T.R.; Simko, Tyler; Imai, Kosuke;",https://doi.org/10.1162/99608f92.abc2c765,Harvard Data Science Review,NA,NA,Special Issue 2,2023,2022,MIT Press,"In ""Differential Perspectives: Epistemic Disconnects Surrounding the US Census Bureau's Use of Differential Privacy,"" boyd and Sarathy argue that empirical evaluations of the Census Disclosure Avoidance System (DAS), including our published analysis, failed to recognize how the benchmark data against which the 2020 DAS was evaluated is never a ground truth of population counts. In this commentary, we explain why policy evaluation, which was the main goal of our analysis, is still meaningful without access to a perfect ground truth. We also point out that our evaluation leveraged features specific to the decennial Census and redistricting data, such as block-level population invariance under swapping and voter file racial identification, better approximating a comparison with the ground truth. Lastly, we show that accurate statistical predictions of individual race based on the Bayesian Improved Surname Geocoding, while not a violation of differential privacy, substantially increases the disclosure risk of private information the Census Bureau sought to protect. We conclude by arguing that policy makers must confront a key trade-off between data utility and privacy protection, and an epistemic disconnect alone is insufficient to explain disagreements between policy choices.",Response to [boyd and Sarathy (2022)](https://hdsr.mitpress.mit.edu/pub/3vj5j6i0/release/1?readingCollection=a133a0a2).,NA
