abbr,union_name,members,assets,liabilities,receipts,disbursements,net_assets,net_profit,eq_pc,pr_pc,officers,staff,officer_salary,staff_salary,staff_rep_pct,staff_pol_pct,locals,pct_private,represent,political,grants,overhead,admin,strike_benefits,benefits,affl,members08,member_chg
AAA,ACTORS AND ARTISTES AFL-CIO,5,763630,255856,90863,79980,507774,10883,101554.8,2176.6,8,0,0,,NaN,NaN,2,,,,0,,,,0,AFL-CIO,0,Inf
AAUP,"UNIVERSITY PROFESSORS, AM ASN, IND",44956,6109466,4417569,9081364,8685993,1691897,395371,37.634509297980244,8.794621407598541,48,36,1038.5,83313.5,0.44166666666666665,0,0,,2118924,0,0,4327713,1309556,0,681200,INDEP,41077,0.09443240742994874
AAWL,AMERICAN ALLIED WORKERS LABORERS,54,400,12000,1832,5779,-11600,-3947,-214.8148148148148,-73.0925925925926,,,,,,,3,0.6481481481481481,,,,,,,,INDEP,,
AEI,AGRICULTURE EMPLOYEES IND,350,147051,0,62839,75231,147051,-12392,420.1457142857143,-35.40571428571429,11,0,782,,NaN,NaN,17,0.44857142857142857,,,0,,,,0,INDEP,,
AFA,"FLIGHT ATTENDANTS ASN, CWA",41118,6216759,1108953,19052491,18985856,5107806,66635,124.223113964687,1.6205797947370981,121,58,899,83242,0.7810344827586206,0.005172413793103448,0,,12548110,86213,154854,853595,2079372,0,1345091,AFL-CIO,36500,0.1265205479452054
AFGE,GOVERNMENT EMPLOYEES AFGE AFL-CIO,332977,40234671,80888407,143125850,144944167,-40653736,-1818317,-122.09172405301267,-5.460788582995222,43,362,22544,101389,0.5152486187845304,0.12671270718232044,930,0.9275986029065071,33040103,8296145,296732,13006275,11442959,0,15443713,AFL-CIO,248845,0.33808997568767696
AFM,MUSICIANS AFL-CIO,72523,26425237,6603359,26560834,23267989,19821878,3292845,273.3185058533155,45.40414764971113,9,66,22668,59289,0.3253030303030303,0.03333333333333333,159,0.7459013002771534,2939320,251995,3883,2823306,3082703,0,1423796,AFL-CIO,88423,-0.1798174683057575
AFSCME,STATE COUNTY AND MUNI EMPLS AFL-CIO,1327379,237141331,94022250,197465488,188903951,143119081,8561537,107.82081153913087,6.449956643882418,38,462,17600,101894,0.38361471861471863,0.14484848484848484,339,0.3778061879839895,31579225,53097892,2792510,23469348,18691630,0,24779781,AFL-CIO,1467138,-0.09525961429667829
AFT,TEACHERS AFL-CIO,1677775,129270651,93616380,363313112,341025908,35654271,22287204,21.250925183650967,13.283785966533058,48,367,1648,121853,0.5022070844686648,0.060790190735694825,145,0.6261602419871556,76103716,31180053,9885126,25914745,10927621,0,20249923,AFL-CIO,856178,0.9596100343620135
AGMA,MUSICAL ARTISTS AAAA AFL-CIO,7535,16633096,1154898,48572075,47838635,15478198,733440,2054.173589913736,97.33775713337756,87,22,538,81583,0.48363636363636364,0,0,,1714928,0,118067,1513059,214358,0,596606,AFL-CIO,7084,0.06366459627329202
