overall,candidate,state,dem_pct,dem_win,dem_ev,total_ev,label
0.47,Biden,AK,0.37355945946522445,FALSE,0,186,Biden: 186 EV
0.47,Biden,AL,0.27961913034926195,FALSE,0,186,Biden: 186 EV
0.47,Biden,AR,0.32901784342224777,FALSE,0,186,Biden: 186 EV
0.47,Biden,AZ,0.42515500112151344,FALSE,0,186,Biden: 186 EV
0.47,Biden,CA,0.5933509254476952,TRUE,55,186,Biden: 186 EV
0.47,Biden,CO,0.49681499938991075,FALSE,0,186,Biden: 186 EV
0.47,Biden,CT,0.544549789250856,TRUE,7,186,Biden: 186 EV
0.47,Biden,DC,0.9441817080723861,TRUE,3,186,Biden: 186 EV
0.47,Biden,DE,0.5360576046074084,TRUE,3,186,Biden: 186 EV
0.47,Biden,FL,0.43720620720228826,FALSE,0,186,Biden: 186 EV
0.47,Biden,GA,0.4041925693678854,FALSE,0,186,Biden: 186 EV
0.47,Biden,HI,0.5960273463328508,TRUE,4,186,Biden: 186 EV
0.47,Biden,IA,0.4469504443855142,FALSE,0,186,Biden: 186 EV
0.47,Biden,ID,0.301032877089717,FALSE,0,186,Biden: 186 EV
0.47,Biden,IL,0.5511507282264783,TRUE,20,186,Biden: 186 EV
0.47,Biden,IN,0.38012659205691907,FALSE,0,186,Biden: 186 EV
0.47,Biden,KS,0.3680679134520954,FALSE,0,186,Biden: 186 EV
0.47,Biden,KY,0.3258676822463106,FALSE,0,186,Biden: 186 EV
0.47,Biden,LA,0.3114329075955033,FALSE,0,186,Biden: 186 EV
0.47,Biden,MA,0.6246091991807831,TRUE,11,186,Biden: 186 EV
0.47,Biden,MD,0.5918020605175613,TRUE,10,186,Biden: 186 EV
0.47,Biden,ME,0.5091142328769175,TRUE,4,186,Biden: 186 EV
0.47,Biden,MI,0.4811237752506772,FALSE,0,186,Biden: 186 EV
0.47,Biden,MN,0.48979542706525625,FALSE,0,186,Biden: 186 EV
0.47,Biden,MO,0.38599873255917744,FALSE,0,186,Biden: 186 EV
0.47,Biden,MS,0.304196883385259,FALSE,0,186,Biden: 186 EV
0.47,Biden,MT,0.38004570688079997,FALSE,0,186,Biden: 186 EV
0.47,Biden,NC,0.43666442428415464,FALSE,0,186,Biden: 186 EV
0.47,Biden,ND,0.29253790684398456,FALSE,0,186,Biden: 186 EV
0.47,Biden,NE,0.34890463935493177,FALSE,0,186,Biden: 186 EV
0.47,Biden,NH,0.494811672312919,FALSE,0,186,Biden: 186 EV
0.47,Biden,NJ,0.5281228086395492,TRUE,14,186,Biden: 186 EV
0.47,Biden,NM,0.44348404633766186,FALSE,0,186,Biden: 186 EV
0.47,Biden,NV,0.4536969991745675,FALSE,0,186,Biden: 186 EV
0.47,Biden,NY,0.5946452005861107,TRUE,29,186,Biden: 186 EV
0.47,Biden,OH,0.4414402787498628,FALSE,0,186,Biden: 186 EV
0.47,Biden,OK,0.27945663718647645,FALSE,0,186,Biden: 186 EV
0.47,Biden,OR,0.5399297511977583,TRUE,7,186,Biden: 186 EV
0.47,Biden,PA,0.4757831984834636,FALSE,0,186,Biden: 186 EV
0.47,Biden,RI,0.5455373014213348,TRUE,4,186,Biden: 186 EV
0.47,Biden,SC,0.36598340655713485,FALSE,0,186,Biden: 186 EV
0.47,Biden,SD,0.33162861499389695,FALSE,0,186,Biden: 186 EV
0.47,Biden,TN,0.3364455431625661,FALSE,0,186,Biden: 186 EV
0.47,Biden,TX,0.3749667863272696,FALSE,0,186,Biden: 186 EV
0.47,Biden,UT,0.3517543181729583,FALSE,0,186,Biden: 186 EV
0.47,Biden,VA,0.4858335564434186,FALSE,0,186,Biden: 186 EV
0.47,Biden,VT,0.6454385933436977,TRUE,3,186,Biden: 186 EV
0.47,Biden,WA,0.5625918396874491,TRUE,12,186,Biden: 186 EV
0.47,Biden,WI,0.48091861322485263,FALSE,0,186,Biden: 186 EV
0.47,Biden,WV,0.2775294422093887,FALSE,0,186,Biden: 186 EV
0.47,Biden,WY,0.2273636884718357,FALSE,0,186,Biden: 186 EV
0.47,Buttigieg,AK,0.37676484095064117,FALSE,0,199,Buttigieg: 199 EV
0.47,Buttigieg,AL,0.26033469148460076,FALSE,0,199,Buttigieg: 199 EV
0.47,Buttigieg,AR,0.3275780828122034,FALSE,0,199,Buttigieg: 199 EV
0.47,Buttigieg,AZ,0.42951876377025294,FALSE,0,199,Buttigieg: 199 EV
0.47,Buttigieg,CA,0.59310871756579,TRUE,55,199,Buttigieg: 199 EV
0.47,Buttigieg,CO,0.5021968776768682,TRUE,9,199,Buttigieg: 199 EV
0.47,Buttigieg,CT,0.5504391347979627,TRUE,7,199,Buttigieg: 199 EV
0.47,Buttigieg,DC,0.9416767716852491,TRUE,3,199,Buttigieg: 199 EV
0.47,Buttigieg,DE,0.5373012937065683,TRUE,3,199,Buttigieg: 199 EV
0.47,Buttigieg,FL,0.4380561893095929,FALSE,0,199,Buttigieg: 199 EV
0.47,Buttigieg,GA,0.38780896441709256,FALSE,0,199,Buttigieg: 199 EV
0.47,Buttigieg,HI,0.5953073117464405,TRUE,4,199,Buttigieg: 199 EV
0.47,Buttigieg,IA,0.4543888616953287,FALSE,0,199,Buttigieg: 199 EV
0.47,Buttigieg,ID,0.3084748167998587,FALSE,0,199,Buttigieg: 199 EV
0.47,Buttigieg,IL,0.5523041205159657,TRUE,20,199,Buttigieg: 199 EV
0.47,Buttigieg,IN,0.3827781807297495,FALSE,0,199,Buttigieg: 199 EV
0.47,Buttigieg,KS,0.3755445049169523,FALSE,0,199,Buttigieg: 199 EV
0.47,Buttigieg,KY,0.3282127034965453,FALSE,0,199,Buttigieg: 199 EV
0.47,Buttigieg,LA,0.28975463950562136,FALSE,0,199,Buttigieg: 199 EV
0.47,Buttigieg,MA,0.6285390025089345,TRUE,11,199,Buttigieg: 199 EV
0.47,Buttigieg,MD,0.5854759148771234,TRUE,10,199,Buttigieg: 199 EV
0.47,Buttigieg,ME,0.5187360996333722,TRUE,4,199,Buttigieg: 199 EV
0.47,Buttigieg,MI,0.4848114272970335,FALSE,0,199,Buttigieg: 199 EV
0.47,Buttigieg,MN,0.4956261065979784,FALSE,0,199,Buttigieg: 199 EV
0.47,Buttigieg,MO,0.38820066572536516,FALSE,0,199,Buttigieg: 199 EV
0.47,Buttigieg,MS,0.27653993183889286,FALSE,0,199,Buttigieg: 199 EV
0.47,Buttigieg,MT,0.38863455579339967,FALSE,0,199,Buttigieg: 199 EV
0.47,Buttigieg,NC,0.43031419676027527,FALSE,0,199,Buttigieg: 199 EV
0.47,Buttigieg,ND,0.2982191659797094,FALSE,0,199,Buttigieg: 199 EV
0.47,Buttigieg,NE,0.35516184544114693,FALSE,0,199,Buttigieg: 199 EV
0.47,Buttigieg,NH,0.5046249734978251,TRUE,4,199,Buttigieg: 199 EV
0.47,Buttigieg,NJ,0.5317179367684381,TRUE,14,199,Buttigieg: 199 EV
